phrase,prompt
My feels kneecap like it grating is on bone bone I when walk.,Knee pain
Kneecap feels my like it is grating on bone bone when I walk.,Knee pain
Kneecap my feels it like is grating on bone when bone I. walk,Knee pain
My feels kneecap it is like grating bone on when bone walk I.,Knee pain
Feel suicidal I.,Emotional pain
Feel I. suicidal,Emotional pain
Suicidal I feel.,Emotional pain
Feel I. suicidal,Emotional pain
I feel pain joint in my after an in injury football the last match played I.,Joint pain
Feel in I pain my joint after an in injury the football last match I. played,Joint pain
Feel I pain in my after joint an injury in the last football I played match.,Joint pain
I feel in pain my after an joint in injury the last football match I played.,Joint pain
Feel I dizzy stand whenever I up.,Feeling dizzy
Dizzy I feel whenever stand I up.,Feeling dizzy
Feel I whenever dizzy stand I up.,Feeling dizzy
I dizzy feel whenever up I stand.,Feeling dizzy
"Annoyance starts suddenly, an often after injury. or exercise",Knee pain
"Annoyance suddenly starts, often after injury an or exercise.",Knee pain
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
"Starts suddenly annoyance, often after injury an exercise or.",Knee pain
I feel pain eyes my in I can see fog,Blurry vision
Feel I pain in my I eyes see can fog,Blurry vision
Feel pain I in eyes my I can see fog,Blurry vision
Pain I feel in my eyes I can fog see,Blurry vision
Can ' keep focus t,Head ache
Can ' focus t keep,Head ache
Can keep ' t focus,Head ache
' can keep t focus,Head ache
I fluid trying feel come to when up I cough.,Cough
I fluid to feel trying come when up I cough.,Cough
Fluid I feel to trying come when up I cough.,Cough
Feel I trying to come fluid up when I cough.,Cough
"My skin color my on back is, red don I t ' why know.",Skin issue
"Skin my color my on back is red, I don t ' know why.",Skin issue
"Skin on my color my back is red, don I ' t know. why",Skin issue
"My color skin my on back is red, I ' don t know why.",Skin issue
' I m from suffering sharp cough Accompanied phlegm by,Cough
I m ' suffering from cough sharp Accompanied phlegm by,Cough
' I m suffering from cough sharp Accompanied phlegm by,Cough
I ' m from suffering cough sharp by Accompanied phlegm,Cough
"When I my move shoulder it, ' s lightning being like is sent my through shoulder",Shoulder pain
"I when move shoulder my, ' it s like is being lightning through sent my shoulder",Shoulder pain
"When I move shoulder my, it like ' s lightning being is sent through my shoulder",Shoulder pain
"When I shoulder move my, it s ' like is lightning being sent my shoulder through",Shoulder pain
A feel I tightness in my chest,Hard to breath
Feel I a tightness in my chest,Hard to breath
Feel I a in tightness chest my,Hard to breath
I tightness feel a my in chest,Hard to breath
Chest my hurts when smoke I,Internal pain
Chest my hurts when smoke I,Internal pain
My hurts chest when smoke I,Internal pain
Chest my hurts when smoke I,Internal pain
A I have ache foot although I don ' t walk a lot.,Foot ache
Have I foot a although ache I don ' walk t lot a.,Foot ache
Have I a foot ache although I ' don t walk lot a.,Foot ache
I have a foot although ache I don ' a t walk lot.,Foot ache
feel I in pain my foot,Foot ache
i pain feel my in foot,Foot ache
i feel pain in my foot,Foot ache
i feel in pain foot my,Foot ache
I had collision a playing while soccer My. knee and buckled now it ' s unstable.,Injury from sports
Had I a collision while soccer playing. My buckled knee it and now ' unstable s.,Injury from sports
Had I collision a playing while soccer. knee My buckled and now it ' s unstable.,Injury from sports
I a collision had while soccer playing. knee My buckled and now it s '. unstable,Injury from sports
I usually have bad a when cough get flu I.,Cough
Usually I have a bad when I cough flu get.,Cough
I usually have a bad cough when get I. flu,Cough
Usually I have bad a cough when I get flu.,Cough
"was I playing basketball yesterday, i ankle have sprained",Injury from sports
"i playing was basketball yesterday, have sprained i ankle",Injury from sports
"was I playing basketball yesterday, i have sprained ankle",Injury from sports
"i was playing yesterday basketball, i have sprained ankle",Injury from sports
Chest my out break with pimples red and whiteheads.,Acne
Chest my break with out pimples red and whiteheads.,Acne
Break my chest with out red pimples and whiteheads.,Acne
My break chest out red with pimples whiteheads and.,Acne
Front itch at center and of scalp,Hair falling out
at itch front and center of scalp,Hair falling out
and itch at front center of scalp,Hair falling out
itch front at and scalp center of,Hair falling out
Get I breakouts on with my chest that red patches get intense more when i get hot.,Acne
I get breakouts on my chest red with patches get that more intense i when hot get.,Acne
I get breakouts my on chest with red that patches more get when intense i get hot.,Acne
I get on my breakouts with chest patches red get that intense more when i get hot.,Acne
i ' can my t ride car at because night i blurry have vision.,Blurry vision
' I can ride my t car at night because have i blurry vision.,Blurry vision
can I t ' car ride my at because night i have blurry vision.,Blurry vision
i can t ' car ride at my night i because have blurry vision.,Blurry vision
I pain feel the in knee,Knee pain
I feel pain in the knee,Knee pain
Pain I feel in the knee,Knee pain
I feel in pain knee the,Knee pain
I ' can t stand with this feeling horrible my stomach in,Stomach ache
I can ' t stand with this feeling horrible in stomach my,Stomach ache
I ' can t stand this horrible with in feeling my stomach,Stomach ache
I can t ' stand with in this horrible feeling my stomach,Stomach ache
When tried I to be warm and more wear clothes found that I I was still cold,Feeling cold
When I tried to be and warm wear more found clothes I that was I still cold,Feeling cold
When I tried be warm to and wear clothes more found I I was that still cold,Feeling cold
When I to tried warm and be wear clothes more found I that I was cold still,Feeling cold
Knee my is hurting. so badly,Joint pain
My knee hurting is so badly.,Joint pain
Knee my is hurting so badly.,Joint pain
My is knee badly hurting so.,Joint pain
fell skull cracked is nuts like,Head ache
skull fell is like cracked nuts,Head ache
fell skull is nuts cracked like,Head ache
fell skull like is cracked nuts,Head ache
Is it I have like a needle through pushing my heart.,Heart hurts
Like it is I have a pushing needle my through heart.,Heart hurts
It like is I a have needle through pushing heart my.,Heart hurts
Is it like I a needle have through pushing my heart.,Heart hurts
My acne chest breaks out and never clears up.,Acne
Acne my breaks chest out and never clears up.,Acne
My chest breaks acne out never and up clears.,Acne
My chest acne breaks and out never clears up.,Acne
my isn hair ' well t,Hair falling out
hair my isn ' well t,Hair falling out
my hair ' isn well t,Hair falling out
hair my isn ' well t,Hair falling out
I feel a great amount of pressure head of my.,Head ache
Feel I a amount great of my pressure of head.,Head ache
I great feel a amount pressure of my of head.,Head ache
I feel great a amount of pressure my of head.,Head ache
my open hand wound infected got,Infected wound
my hand got open wound infected,Infected wound
my hand open got infected wound,Infected wound
my hand wound open infected got,Infected wound
Feel I pressure great in chest my,Hard to breath
Feel I great pressure in my chest,Hard to breath
I feel great pressure my in chest,Hard to breath
I feel in great pressure chest my,Hard to breath
I an open have wound in arm my,Open wound
Have I an open wound arm in my,Open wound
I have an open wound in arm my,Open wound
I have wound an open my in arm,Open wound
i sleep cant of because cough,Cough
cant I sleep because cough of,Cough
i sleep cant of because cough,Cough
i cant sleep of cough because,Cough
"Is it hard to when breath am I the in underground metro station why,?",Hard to breath
"It is hard to when breath I am in underground the metro station why,?",Hard to breath
"It to is hard breath when I the am in metro underground station, why?",Hard to breath
"It is hard breath to I when am the underground in station metro, why?",Hard to breath
"can t ' any do exercise, i weak feel",Body feels weak
"can ' do t any, exercise feel i weak",Body feels weak
"' can do t any, exercise i feel weak",Body feels weak
"t can do ' any exercise, i feel weak",Body feels weak
' m very I worried that I ' go ll soon bald. Am I very? sick,Hair falling out
I ' m worried very that ' I ll go bald soon Am. very I sick?,Hair falling out
' I m worried very I that ' ll bald go. soon Am very I sick?,Hair falling out
I ' m very worried that I ' go ll soon. bald I Am very sick?,Hair falling out
i feel that pain is great in my shoulder left,Shoulder pain
i that feel is great pain in left shoulder my,Shoulder pain
Is I feel that great pain in my left shoulder,Shoulder pain
i feel that great is pain my in shoulder left,Shoulder pain
Is a there for acne cure?,Acne
Is a cure there acne for?,Acne
Is a there acne cure for?,Acne
There a is cure for? acne,Acne
Have a I pain in muscle my,Muscle pain
I have in pain a my muscle,Muscle pain
I have a pain in muscle my,Muscle pain
I a pain have my in muscle,Muscle pain
I sad feel like hurt or pain,Emotional pain
Feel I sad hurt like pain or,Emotional pain
I feel sad like hurt pain or,Emotional pain
Feel sad I like hurt pain or,Emotional pain
I have found some issues my in and skin tried to cream use but it doesn t ' get better,Skin issue
Have I found some issues in skin my and tried to use cream but it doesn ' better t get,Skin issue
I some have found issues in my and skin to tried cream use but it doesn ' get t better,Skin issue
I found have some issues my in skin tried and use cream to but it doesn t ' get better,Skin issue
Have I red a that is rash itchy on my skin,Skin issue
Have I red a is rash that itchy on my skin,Skin issue
I a have rash red is that itchy my on skin,Skin issue
Have I red a that rash is itchy my on skin,Skin issue
Feel I in pain my neck waking after up,Neck pain
I feel pain in my neck waking after up,Neck pain
Feel I in pain my neck waking after up,Neck pain
I pain feel my in after neck waking up,Neck pain
My neck been has sore the since. accident,Neck pain
Neck my has sore been the since accident.,Neck pain
My neck has since sore been the accident.,Neck pain
Neck my has been sore since the accident.,Neck pain
"I feel a pain on left the side of my chest where, my is heart",Heart hurts
"I a feel pain the left on side my of, chest where my heart is",Heart hurts
"Feel I a on pain the left side my chest of, where my is heart",Heart hurts
"I a feel pain on the left of side my, chest where my heart is",Heart hurts
When I wake I up am feeling cold,Feeling cold
I wake when up am I feeling cold,Feeling cold
When wake up I am I feeling cold,Feeling cold
When wake I up I am feeling cold,Feeling cold
there acne is my on face,Acne
Is there acne on face my,Acne
there acne is on face my,Acne
there is acne on my face,Acne
I m ' not i good ' feeling so m cold,Feeling cold
I m ' not good i ' m cold so feeling,Feeling cold
I ' m not good i ' feeling m cold so,Feeling cold
I ' not m i good ' m feeling so cold,Feeling cold
I chopped the tip off my of finger I while was cutting some cardboard and cannot stop I bleeding the.,Open wound
Chopped I tip the off of my finger I while was some cutting cardboard I and cannot stop the bleeding.,Open wound
I off chopped the tip of my finger while I cutting was some and cardboard cannot I stop the. bleeding,Open wound
I chopped off of the tip finger my I while was cutting and some cardboard I cannot stop bleeding the.,Open wound
"It ' s hard to up stand, and I m moving slowly ' very",Body feels weak
"' it hard s to stand up and, I ' m slowly moving very",Body feels weak
"It ' s to hard up stand, and I m moving ' slowly very",Body feels weak
"' it s hard to up stand, I and ' moving m slowly very",Body feels weak
Is there so pain when much move I my arm.,Shoulder pain
There is so much pain when I my move. arm,Shoulder pain
There is so pain when much I move my arm.,Shoulder pain
Is so there much when pain I my move arm.,Shoulder pain
I lose of a lot hair my,Hair falling out
I lose lot a of my hair,Hair falling out
Lose I lot a of hair my,Hair falling out
Lose I of a lot my hair,Hair falling out
i have myself injured during soccer match the,Injury from sports
i have myself injured during match the soccer,Injury from sports
have I injured myself soccer during the match,Injury from sports
I have injured myself during soccer the match,Injury from sports
I when wake up in the morning I feel soreness a in body my,Muscle pain
When I wake in up the morning I in feel a my soreness body,Muscle pain
When I wake in up morning the a I soreness feel in my body,Muscle pain
When wake I in up the morning I feel a in soreness my body,Muscle pain
I feel my pain in heart when I up wake,Heart hurts
I feel pain in heart my when wake up I,Heart hurts
I feel in my pain when heart I wake up,Heart hurts
I feel pain in my when heart wake up I,Heart hurts
I feel something like is squeezing my lungs.,Hard to breath
I feel like something is squeezing lungs my.,Hard to breath
I feel like is something squeezing my lungs.,Hard to breath
I like something feel is my squeezing lungs.,Hard to breath
Foot my had been since aching Tuesday last.,Foot ache
Foot my been had since aching last Tuesday.,Foot ache
My foot been since had aching last Tuesday.,Foot ache
Foot my had been since aching Tuesday last.,Foot ache
Back my hurts a when lot bend I,Back pain
Back my a hurts lot when bend I,Back pain
Back my hurts a I lot when bend,Back pain
Back hurts my lot a when I bend,Back pain
Everything looks like in beeing smoky a. area,Blurry vision
Looks everything like beeing a in area smoky.,Blurry vision
Looks everything like in beeing a area smoky.,Blurry vision
Looks everything like in beeing a area smoky.,Blurry vision
Severe cold have and cough,Cough
Severe have and cold cough,Cough
Severe have and cold cough,Cough
Have cold severe cough and,Cough
Bowel chronic Pain,Internal pain
Chronic Pain bowel,Internal pain
Bowel chronic Pain,Internal pain
Bowel chronic Pain,Internal pain
I when football played dislocated I my shoulder,Injury from sports
I when played football I dislocated my shoulder,Injury from sports
I when football played dislocated I my shoulder,Injury from sports
When I played football I dislocated shoulder my,Injury from sports
I feel pain in my right shoulder after the match. tennis,Injury from sports
I feel pain in right my shoulder the after tennis match.,Injury from sports
Feel I pain in my right after the shoulder match tennis.,Injury from sports
I pain feel my right shoulder in after the tennis match.,Injury from sports
There this is that pain from radiates my chest my up to left arm.,Heart hurts
There is this pain radiates my that from up chest to my arm left.,Heart hurts
There is radiates this pain that my from chest up to my arm left.,Heart hurts
Is this there pain that radiates from my chest up my to left arm.,Heart hurts
I have pimples in along patches a lot with of redness on my face.,Acne
I pimples have in patches with along a redness lot of on face my.,Acne
I have pimples patches in with along a of redness lot on face my.,Acne
I have pimples patches in along with a lot of redness my face on.,Acne
"can I ' t move my leg there, pain the is in joint",Joint pain
"Can I ' t move my leg, there is pain the joint in",Joint pain
"I can ' move t my leg, there is pain joint in the",Joint pain
"i can ' t my move leg there is, pain the joint in",Joint pain
Have a I mental suffering,Emotional pain
I have mental suffering a,Emotional pain
Have I a suffering mental,Emotional pain
Have I a suffering mental,Emotional pain
I a feel in sharp pain ankle my joint when I stand.,Joint pain
A I feel sharp pain in ankle my joint I when stand.,Joint pain
I a feel pain in sharp my ankle joint I when stand.,Joint pain
I feel sharp pain a my in ankle joint I when stand.,Joint pain
Head my in hurts the and back the pain lasts day all.,Head ache
My head hurts in back the and the lasts pain day. all,Head ache
My hurts head in the back and the pain lasts day all.,Head ache
Head my in hurts the back the and pain lasts all. day,Head ache
What cuts helps faster heal?,Open wound
Helps what cuts faster heal?,Open wound
Helps what cuts faster heal?,Open wound
Helps what heal cuts faster?,Open wound
My doesn knee ' want t bend to well.,Knee pain
My knee doesn t ' want to bend well.,Knee pain
Knee my doesn ' t to bend want well.,Knee pain
My doesn knee ' t to want well bend.,Knee pain
My seem knees to grind as I go down up stairs or.,Knee pain
Knees my seem to grind as I up or go down. stairs,Knee pain
My knees seem to grind I as up go or down stairs.,Knee pain
My knees seem to grind as go I down or up stairs.,Knee pain
When ' i m in awake morning I the strange feel and have vertigo,Feeling dizzy
I when m ' awake in the morning feel I and have strange vertigo,Feeling dizzy
When ' i m in awake morning the I feel strange have vertigo and,Feeling dizzy
When ' m awake i in morning the feel I strange and have vertigo,Feeling dizzy
My sore isn ' t well ' healing and it s like been this two for weeks.,Open wound
My sore isn ' t healing and well it ' been s for like this two weeks.,Open wound
Sore my ' t isn healing well and it ' s like been this weeks for two.,Open wound
My isn sore ' t well healing and it ' s been this like two for weeks.,Open wound
Walking after have some I pain under my foot,Foot ache
Walking after have I some pain under foot my,Foot ache
Walking after I have some under pain foot my,Foot ache
Walking after I pain have some under my foot,Foot ache
I hit myself and the doesn would want ' to t heal,Open wound
Hit I and myself the doesn would ' t want heal to,Open wound
Hit I myself and the would t doesn ' want heal to,Open wound
I hit the myself and would ' doesn t want heal to,Open wound
Have I some pain when ' i m around my walking knees,Joint pain
Have I some pain ' when m i walking around my knees,Joint pain
I have pain some when i ' walking m knees around my,Joint pain
Have I some when pain ' i m walking around knees my,Joint pain
When stand I too up quick vision my is. blurry,Blurry vision
I when up stand too my quick is vision blurry.,Blurry vision
I when up stand quick too vision my is blurry.,Blurry vision
When I quick stand up too my vision is. blurry,Blurry vision
I suffered deep a wound in my hand I and stop can the not bleeding,Infected wound
Suffered I a wound deep in hand my I and not can stop the bleeding,Infected wound
I suffered deep a wound in my hand I not and can stop bleeding the,Infected wound
I a suffered wound in deep hand my and I can stop not the bleeding,Infected wound
The pain severe the in I stomach feel,Stomach ache
Severe the pain in the feel stomach I,Stomach ache
Severe the pain the in stomach feel I,Stomach ache
Severe the pain in the feel stomach I,Stomach ache
"There be must something wrong with my circulation blood, I have to socks wear even on the hottest days, toes my frozen! are",Feeling cold
"Must there be something with wrong my blood circulation I, to have socks wear even the on hottest days, toes my are! frozen",Feeling cold
"There must be something with wrong my blood, circulation I have wear to socks even the on hottest, days toes my are frozen!",Feeling cold
"There be something wrong must my with blood circulation, I have to wear socks on even hottest the days, toes my frozen are!",Feeling cold
I can ` t coughing stop.,Cough
Can I ` coughing t stop.,Cough
` I can t coughing stop.,Cough
I ` t can coughing stop.,Cough
Is there injured an person,Infected wound
An there is injured person,Infected wound
There an is person injured,Infected wound
There is injured person an,Infected wound
It when I hurts my raise arm up,Shoulder pain
Hurts it when I raise my arm up,Shoulder pain
It hurts I when raise my arm up,Shoulder pain
It hurts raise when I my up arm,Shoulder pain
"My I cut finger can opening a, it won t ' stop bleeding and the is gaping wound and open",Open wound
"I cut finger my opening a can, won it ' t stop bleeding and the wound is and gaping open",Open wound
"I cut my finger a can opening, it ' won t stop and bleeding the wound is gaping open and",Open wound
"My I finger cut opening a can, it won stop ' t and bleeding wound the is gaping and open",Open wound
When I eat too much sugar my body weak and gets dizzy.,Body feels weak
When I eat sugar too much my body gets and dizzy weak.,Body feels weak
When I eat too much my sugar body gets and weak dizzy.,Body feels weak
I when too eat much my sugar body weak gets and dizzy.,Body feels weak
Right my shoulder I clicks when move my arm.,Shoulder pain
My right clicks shoulder when move I my. arm,Shoulder pain
Right my shoulder clicks I when move arm my.,Shoulder pain
Right my shoulder when clicks I my move arm.,Shoulder pain
I have a and it rash itches bad very.,Skin issue
Have I a and rash it itches bad very.,Skin issue
A I have rash and it very itches bad.,Skin issue
Have I rash a it and itches very bad.,Skin issue
Have stomach I constant pain and bloating.,Internal pain
I have constant stomach pain bloating and.,Internal pain
Have I constant stomach bloating pain and.,Internal pain
Have I constant pain stomach bloating and.,Internal pain
Foot my hurts and can I ' turn t it it. Maybe ' broken s.,Foot ache
Foot my hurts I and ' can it t turn. Maybe it ' broken s.,Foot ache
Foot my hurts can and I ' t it turn. Maybe it ' s broken.,Foot ache
My and foot hurts I t can ' turn. it Maybe it ' broken s.,Foot ache
Knocked I foot my and it really. hurts,Foot ache
Knocked I my foot and hurts it really.,Foot ache
Knocked I foot my it and really hurts.,Foot ache
I knocked my foot and really it hurts.,Foot ache
My son a has lot of acne.,Acne
A my son has lot of acne.,Acne
My has a son lot of. acne,Acne
My has a son of lot acne.,Acne
I a have pain radiates that up my from right hip my to rib cage. It is at it ' s when worst I urinate.,Internal pain
Have I a pain that radiates up from my hip right to my rib cage. is It it at s ' worst when I urinate.,Internal pain
I have a pain radiates that from my up right hip to my rib cage. It it is at s ' when worst I urinate.,Internal pain
I have a pain that radiates up from my hip right my to cage rib. It is at it ' s worst when I urinate.,Internal pain
My starts stomach feels hurting but it then feels better after I eat something mild.,Stomach ache
Feels my starts stomach hurting but then it feels after better I eat something. mild,Stomach ache
Stomach my feels starts hurting then but it better after feels I eat something. mild,Stomach ache
Stomach my feels but starts hurting it feels then better after I eat something mild.,Stomach ache
My neck feels stiff,Neck pain
My stiff neck feels,Neck pain
Neck my stiff feels,Neck pain
My neck feels stiff,Neck pain
I dizzy feel after doing muscular effort a.,Feeling dizzy
Feel I dizzy after doing a muscular effort.,Feeling dizzy
Feel I dizzy after doing muscular effort a.,Feeling dizzy
I feel dizzy doing after a muscular effort.,Feeling dizzy
I lightheaded when feel I up stand,Feeling dizzy
Lightheaded I feel I when stand up,Feeling dizzy
I lightheaded when feel I up stand,Feeling dizzy
Feel lightheaded when I I stand up,Feeling dizzy
I feel a of lot pain in the joints.,Joint pain
I feel lot a of pain the in. joints,Joint pain
I feel a lot pain of in the joints.,Joint pain
I lot feel a of in pain the joints.,Joint pain
The acne causing was me to feel embarrassed.,Acne
The acne was causing me to embarrassed feel.,Acne
Acne the was causing to me feel. embarrassed,Acne
Acne the was me causing to feel. embarrassed,Acne
Whenever up I stand I dizzy feel.,Feeling dizzy
Whenever I stand up I dizzy feel.,Feeling dizzy
Whenever I stand up I dizzy feel.,Feeling dizzy
Whenever I up feel stand I dizzy.,Feeling dizzy
Have a I split on my thumb will that heal not.,Open wound
I have a split on my thumb not will that. heal,Open wound
I a split have my on that thumb will not heal.,Open wound
I split have a on thumb my that not will heal.,Open wound
i was football playing and with joint injuried pain.,Joint pain
i was playing football joint and injuried with pain.,Joint pain
was football I playing and injuried with joint pain.,Joint pain
i was football playing and injuried joint pain with.,Joint pain
I can ' see t the I sign have a blurry vision,Blurry vision
Can I ' t see the sign I a have blurry vision,Blurry vision
I can ' t see I the sign have a blurry vision,Blurry vision
I can ' t see sign the have I a blurry vision,Blurry vision
"My while heart hurts I ', m sad why?",Heart hurts
"My hurts heart while I m ' sad, why?",Heart hurts
"Heart my hurts while I m ' sad, why?",Heart hurts
"Hurts my while heart I ' m sad why,?",Heart hurts
I have headache almost a day every,Head ache
I have headache almost a day every,Head ache
I have headache a almost every day,Head ache
Have I a almost headache day every,Head ache
There is constant tickle a in throat my,Cough
Is there constant a tickle in throat my,Cough
There is a constant in tickle my throat,Cough
There a tickle is constant in my throat,Cough
There of are lots hairs on pillow my in morning the.,Hair falling out
There are lots of on hairs my pillow the in morning.,Hair falling out
There of are lots hairs on my pillow in the morning.,Hair falling out
There are on lots of hairs my pillow in morning the.,Hair falling out
I a have scab the of on back my hand that won just ' t go. away,Skin issue
Have a I scab on back my the of that hand just won ' t go away.,Skin issue
Have I a on scab back the my of hand just that won ' t away go.,Skin issue
Have I a scab the on back of hand my that won just ' t go away.,Skin issue
I have a rash very to sensation close my arms,Skin issue
I have very a rash close sensation to arms my,Skin issue
I a rash have very sensation close to my arms,Skin issue
Have I a very rash sensation close arms to my,Skin issue
I when m doing ' sport I have under pain my skin,Muscle pain
I when ' m doing I sport have pain under my skin,Muscle pain
I when ' m doing I sport have pain under my skin,Muscle pain
I when ' m doing sport have I pain under my skin,Muscle pain
I my hit head the at. basketball game Could I a have concussion?,Injury from sports
I hit my at head the game basketball. I Could have a concussion?,Injury from sports
I my hit head the at basketball. Could game I a have concussion?,Injury from sports
I hit my the head at basketball game. I Could a have? concussion,Injury from sports
"Left my husband me for another woman my, hurts heart to so badly the I point can ' t eat sleep or.",Heart hurts
"Husband my left me another for woman, my hurts heart so badly to the point I can ' t eat sleep or.",Heart hurts
"Husband my me left another woman for, my hurts so heart badly to the point I can t ' or eat sleep.",Heart hurts
"My left husband another me for woman my, heart hurts so badly to the point I can t ' eat sleep or.",Heart hurts
"i diagnosed was with, pneumonia i can t ' easily breath.",Hard to breath
"i was diagnosed pneumonia with, i ' can t. breath easily",Hard to breath
"was I diagnosed with, pneumonia i can ' t breath easily.",Hard to breath
"i diagnosed was with, pneumonia ' i can t breath easily.",Hard to breath
my neck me hurts and can i ' t down look up or,Neck pain
my hurts me neck i and can t ' look down or up,Neck pain
my neck hurts me and i can ' look t down up or,Neck pain
my hurts neck me and can i ' t look or up down,Neck pain
I don ' do t anything at home and still I. feel exhausted,Body feels weak
' I don t do anything at and home I still feel. exhausted,Body feels weak
Don I t ' do anything home at and still feel exhausted I.,Body feels weak
I don ' t do at anything and home still I exhausted feel.,Body feels weak
I a have pain sharp clicking and in sound my ankle when joint try to I stand on it and walk.,Joint pain
I have a pain sharp and clicking my sound in ankle joint when I to stand try on it and walk.,Joint pain
I have a sharp pain clicking and in my sound ankle joint when try I to on stand and it. walk,Joint pain
I have a sharp pain and clicking sound in ankle joint my I when stand try to on it and walk.,Joint pain
I up wake at cold night feeling,Feeling cold
Wake I up night at cold feeling,Feeling cold
I up wake at feeling cold night,Feeling cold
Wake I at night up feeling cold,Feeling cold
I when go sleep to I feeling am cold,Feeling cold
When go I to sleep am I cold feeling,Feeling cold
When I to go sleep am I cold feeling,Feeling cold
I when go to I sleep feeling am cold,Feeling cold
Back my hurts a me lot,Back pain
Back my me hurts a lot,Back pain
Back my hurts me lot a,Back pain
back my me hurts a lot,Back pain
Like feels there pins and are needles in sticking my joints,Joint pain
Like there feels pins are and needles sticking in joints my,Joint pain
Feels there like are pins needles sticking in and my joints,Joint pain
Feels like there pins are needles and sticking in my joints,Joint pain
I have whenever internal pain I come with down a. cold,Internal pain
Have I internal pain whenever I come a down with. cold,Internal pain
Internal I have pain whenever come down I with a cold.,Internal pain
Have I pain internal I whenever come down with cold a.,Internal pain
"I a cough lot when I perfume smell, wrong what with is my lungs?",Cough
"I a cough lot when smell I perfume what, is my wrong with lungs?",Cough
"I cough lot a when I perfume smell what, is wrong my with? lungs",Cough
"Cough I a when lot smell I perfume, is what wrong my with lungs?",Cough
I have on eruptions my face that come go and.,Acne
I have on eruptions face my come that go and.,Acne
Have I on eruptions my face come that and. go,Acne
Have I eruptions on face my that come and go.,Acne
have I very a bad cough,Cough
i a have bad very cough,Cough
i have a bad cough very,Cough
have I a very cough bad,Cough
"I ve ' tried reading books but, can cheer nothing up me.",Emotional pain
"' I ve tried books, reading but nothing me can cheer up.",Emotional pain
"' I tried ve reading books but, nothing can me cheer. up",Emotional pain
"I ' ve reading books tried but, can nothing me cheer up.",Emotional pain
I a feel great pain in and my shoulder joint it not does go away,Joint pain
I a feel great pain in shoulder my and joint it does not go away,Joint pain
I a feel great in pain my shoulder joint and it does not away go,Joint pain
I feel a pain great my in joint shoulder and does it go not away,Joint pain
I have on a rash skin my,Skin issue
Have I a on rash skin my,Skin issue
I a have rash on my skin,Skin issue
I a have my rash on skin,Skin issue
I when play football I joint have. pain,Joint pain
When I play football have I joint pain.,Joint pain
When football I play I have pain joint.,Joint pain
I when football play I have pain joint.,Joint pain
Pain severe the in ear,Ear ache
Severe pain in the ear,Ear ache
Severe in pain ear the,Ear ache
Severe pain in the ear,Ear ache
Chronic hair disease of follicles sebaceous and glands,Acne
Disease chronic of hair and follicles glands sebaceous,Acne
Chronic of disease follicles hair sebaceous and glands,Acne
Disease chronic of hair follicles and sebaceous glands,Acne
I when carry heavy i things feel like breaking my back,Back pain
When I carry heavy i things feel like breaking back my,Back pain
When I carry i heavy things feel my like breaking back,Back pain
When carry I things heavy feel i like my breaking back,Back pain
I feel abdominal pain,Stomach ache
I abdominal pain feel,Stomach ache
Feel I pain abdominal,Stomach ache
I feel abdominal pain,Stomach ache
"i walked long a for km 3, i feel pain in foot my foot like ache",Foot ache
"a I walked long for 3 km, feel i pain my in foot like foot ache",Foot ache
"i a walked for long km 3, i feel pain in foot my foot ache like",Foot ache
"i a walked long 3 for km, i pain in feel my like foot ache foot",Foot ache
"There are I times when feel crushed a under huge weight no and passing air my to lungs, it actually scares the hell of out when me it happens.",Hard to breath
"Are there times feel when I crushed under a huge weight no and passing air to lungs my, actually it scares the hell out of me it. when happens",Hard to breath
"There are times when I feel crushed under huge weight a and no air passing to my lungs, it actually scares the hell out when of me it happens.",Hard to breath
"Are there when times feel I under huge crushed a and weight air no to passing my lungs, it actually scares the hell out of me when it. happens",Hard to breath
Need scratch to my skin every minute,Skin issue
Need to scratch my skin minute every,Skin issue
To need scratch skin my minute every,Skin issue
Need scratch to skin my minute every,Skin issue
"My daughter bit was by her cat now and hand her is sore, swollen and red and the wound is oozing liquid.",Infected wound
"Daughter my bit was her by cat now and her is hand sore, red and and the swollen wound is liquid oozing.",Infected wound
"Daughter my was bit by her and cat now her hand sore is, red swollen the and and is wound liquid oozing.",Infected wound
"Daughter was my bit by her now cat and hand her is sore red, and and swollen the wound is liquid oozing.",Infected wound
It when I hurts bent arm my,Joint pain
It when hurts bent I arm my,Joint pain
It when hurts I bent my arm,Joint pain
It hurts when I bent arm my,Joint pain
I pain have my in stomach,Stomach ache
I pain in have my stomach,Stomach ache
I have in pain stomach my,Stomach ache
I have pain in my stomach,Stomach ache
Stomach after pain milk drinking,Stomach ache
Stomach after pain milk drinking,Stomach ache
Pain stomach after milk drinking,Stomach ache
Pain stomach drinking after milk,Stomach ache
The wound is still open,Open wound
Wound is the still open,Open wound
Is the wound still open,Open wound
The wound is still open,Open wound
When eat I I sugar my notice vision blurs.,Blurry vision
When I eat I sugar notice my vision blurs.,Blurry vision
When eat I sugar I notice blurs my vision.,Blurry vision
When I sugar I eat notice my blurs vision.,Blurry vision
Pain I have in my colon and my stomach something like it cutting,Stomach ache
I have in pain my colon and my like stomach something cutting it,Stomach ache
Have I pain my in and colon my stomach like cutting something it,Stomach ache
Have pain I my in and colon my stomach like something cutting it,Stomach ache
